percentage,proportion
0.011363636363636364,0.027214250371103414
0.011494252873563218,0.20237506185056903
0.022727272727272728,0.2302490516246083
0.022988505747126436,0.33069437572159
0.03409090909090909,0.33399307273626916
0.034482758620689655,0.4365825498927923
0.045454545454545456,0.44037605145967346
0.04597701149425287,0.5202045192149101
0.056818181818181816,0.5233382813788553
0.05747126436781609,0.6603991423387762
0.06818181818181818,0.6627082302490517
0.06896551724137931,0.8010885700148441
0.07954545454545454,0.8024080488207158
0.08045977011494253,0.8665677057562263
0.09090909090909091,0.867392380009896
0.09195402298850575,0.8830611908296223
0.10227272727272728,0.8837209302325582
0.10344827586206896,0.9036780471713673
0.11363636363636363,0.9043377865743032
0.11494252873563218,0.9135741382154049
0.125,0.9143988124690747
0.12643678160919541,0.9244598383638463
0.1348314606741573,0.9247897080653142
0.13636363636363635,0.9259442520204519
0.13793103448275862,0.9341909945571499
0.14772727272727273,0.9355104733630216
0.14942528735632185,0.9439221507504536
0.1590909090909091,0.9450766947055913
0.16091954022988506,0.9536533069437572
0.17045454545454544,0.954807850898895
0.1724137931034483,0.9671779647039419
0.18181818181818182,0.9686623783605476
0.1839080459770115,0.9737753587333003
0.19318181818181818,0.9759195117928419
0.19540229885057472,0.9803727527626588
0.20224719101123595,0.9805376876133927
0.20454545454545456,0.9825169058222002
0.20689655172413793,0.9873000164934851
0.2159090909090909,0.9886194952993568
0.21839080459770116,0.991588322612568
0.22727272727272727,0.9942272802243114
0.22988505747126436,0.9962064984331189
0.23595505617977527,0.9963714332838529
0.23863636363636365,0.9971961075375226
0.2413793103448276,0.9983506514926604
0.25,0.9988454560448623
0.25287356321839083,0.9993402605970642
0.26136363636363635,0.9995051954477981
0.2696629213483146,0.999835065149266
0.2777777777777778,1.0
